jud,uat,GEORGE SIMION,CRIN ANTONESCU,NICUȘOR DAN,VICTOR PONTA,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu,Procent plecari din populatie (2023),Suprafata locuibila/cap de locuitor (m patrati) 2023,Numarul de salariati raportat la populatie (% din populatie) 2023,Cote de impozit raportat la populatie (2022),Fonduri pe cap de locuitor (2022),Pacienti la un medic 2023,Varsta medie a populatiei in 2023,Ponderea somerilor in 2023
ALBA,ALBAC,48.9,19.87,11.7,15.34,58.45,GEORGE-NICOLAE SIMION,48.9,46.46827,22.96154164,RURAL,1.769911504,25.28058303,17.54294638,323.5564142,94.5316847,960.5,43.45,11.7
ALBA,ALMAȘU MARE,50.83,21.65,6.79,15.05,55.5,GEORGE-NICOLAE SIMION,50.83,46.08212426,23.14512303,RURAL,2.327514547,26.69160432,9.393183707,386.955335,21.84119107,1203,47.16,2.9
ALBA,ARIEȘENI,35.2,33.44,10.89,16.61,73.38,GEORGE-NICOLAE SIMION,35.2,46.49683807,22.73972809,RURAL,1.469605878,28.31529726,14.36205745,277.276203,143.3210283,1497,45.6,4.5
ALBA,AVRAM IANCU,52.37,30.62,7.54,7.69,60.25,GEORGE-NICOLAE SIMION,52.37,46.37854481,22.77661577,RURAL,1.505376344,24.63154122,7.670250896,289.9363057,1121.111819,1395,44.54,12.2
ALBA,BERGHIN,53.29,20.61,11.1,10.24,53.52,GEORGE-NICOLAE SIMION,53.29,46.07019956,23.7288281,RURAL,2.739726027,20.8256059,6.954689146,150.4587252,21.01149425,1898,42.87,2.1
ALBA,BISTRA,54.82,19.63,8.44,14.12,45.27,GEORGE-NICOLAE SIMION,54.82,46.43312576,23.13575911,RURAL,1.96699073,17.74406511,9.541035496,271.6821948,417.8163494,2211.5,42.61,4.6
ALBA,BLANDIANA,43.44,27.51,11.05,13.11,52.74,GEORGE-NICOLAE SIMION,43.44,45.9941191,23.35917355,RURAL,1.382488479,24.37903226,5.760368664,94.34146341,213.42741,868,46.83,3.2
ALBA,BUCERDEA GRÂNOASĂ,63.08,13.89,10.88,9.03,48.51,GEORGE-NICOLAE SIMION,63.08,46.2117024,23.85386611,RURAL,1.720335245,17.99603,5.646228496,133.4787422,58.67271922,2267,39.95,0.1
ALBA,BUCIUM,38.74,28.38,9.91,18.62,58.02,GEORGE-NICOLAE SIMION,38.74,46.255961,23.17073147,RURAL,2.818991098,30.35089021,7.270029674,146.4304539,0,1348,49.54,2.4
ALBA,CENADE,53.76,31.5,5.78,5.2,43.6,GEORGE-NICOLAE SIMION,53.76,46.05520157,23.99816304,RURAL,1.377952756,16.19389764,4.527559055,102.3786982,0,508,38.16,3.2
